subscriber_type,total_trips,avg_distance_km
Heartland Pass (Monthly Pay),1,3.17
ACL Weekend Pass Special,313,2.09
FunFunFun Fest 3 Day Pass,27,2.02
Annual Membership ,5,1.94
$1 Pay by Trip Winter Special,524,1.88
$1 Pay by Trip Fall Special,351,1.88
Annual Pass,224,1.87
Explorer,90023,1.81
Pay-as-you-ride,52527,1.79
Single Trip Ride,1988,1.76
3-Day Weekender,41400,1.74
3-Day Explorer,5641,1.69
Local31,118371,1.66
Try Before You Buy Special,445,1.65
Single Trip (Pay-as-you-ride),18202,1.63
24 Hour Walk Up Pass,216581,1.62
Explorer ($8 plus tax),161,1.62
Weekender,38270,1.59
Madtown Monthly,58,1.59
Republic Rider,16,1.57
Annual Pass (Original),25,1.56
Annual,2033,1.55
Local365+Guest Pass- 1/2 off Anniversary Special,426,1.55
7-Day,5431,1.53
Annual ,586,1.53
Single Trip ,6328,1.53
ACL 2019 Pass,187,1.52
Membership: pay once  one-year commitment,12,1.51
Walk Up,205610,1.5
Weekender ($15 plus tax),521,1.49
Single Trip,2655,1.48
Annual Plus Membership,21,1.48
Local365,346195,1.42
Heartland Pass (Annual Pay),11,1.41
HT Ram Membership,1718,1.41
"Membership: pay once, one-year commitment",2,1.41
Annual Plus,164,1.39
Student Membership,243202,1.38
,4910,1.36
Annual Membership,1197,1.35
Local30,51633,1.35
Republic Rider (Annual),280,1.35
Annual Member,385,1.34
Semester Membership,3053,1.34
Local365+Guest Pass,13175,1.31
Local365- 1/2 off Anniversary Special,2757,1.31
Local365 ($80 plus tax),3729,1.29
Local30 ($11 plus tax),799,1.28
Local365 Youth with helmet (age 13-17 riders),79,1.26
Founding Member,5897,1.2
Annual Pass (30 minute),2,1.2
Local365 Youth (age 13-17 riders),626,1.18
Aluminum Access,89,1.15
Denver B-cycle Founder,12,1.14
RideScout Single Tide,57,1.05
U.T. Student Membership,260394,0.89
UT Student Membership,8,0.89
Local365 Youth (age 13-17 riders)- 1/2 off Special,3,0.61
