station_id,station_name,number_of_docks,total_trips_started
3798,21st & Speedway @PCL,22,179703
2498,4th/Sabine,17,82661
3838,Nueces & 26th,13,67726
2547,Guadalupe & 21st,13,64474
2575,Riverside @ S. Lamar,15,63161
2707,Rainey St @ Cummings,17,61488
3795,Dean Keeton & Whitis,19,60601
2548,UT West Mall @ Guadalupe,15,59726
2574,Zilker Park,17,49292
2499,City Hall / Lavaca & 2nd,19,48551
2494,2nd & Congress,15,48335
2501,5th & Bowie,15,47309
2552,3rd & West,13,45854
2566,Pfluger Bridge @ W 2nd Street,19,43854
2495,4th & Congress,15,43431
2563,Rainey/Driskill,12,41892
2497,Capitol Station / Congress & 11th,18,38514
3797,21st & University,19,37414
3793,Rio Grande & 28th,13,36516
2567,Palmer Auditorium,15,34127
2539,Convention Center / 3rd & Trinity,12,34092
3792,22nd & Pearl,13,33563
3799,23rd & San Jacinto @ DKR Stadium,22,33528
3841,23rd & Rio Grande,13,33385
2549,Long Center @ South 1st & Riverside,13,33097
3794,Dean Keeton & Speedway,19,32594
3377,MoPac Pedestrian Bridge @ Veterans Drive,19,29869
2711,Barton Springs @ Kinney Ave,16,29148
2542,Plaza Saltillo,12,28098
2572,Barton Springs Pool,13,27695
3621,Nueces & 3rd,11,26821
3619,6th & Congress,11,24902
2503,South Congress & James,9,24561
2570,South Congress & Academy,10,24194
2496,8th & Congress,14,23396
3513,South Congress & Barton Springs at the Austin American-Statesman,13,23366
4061,Lakeshore @ Austin Hostel,15,23009
2504,South Congress & Elizabeth,13,22731
2537,West & 6th St.,13,20777
3687,Boardwalk West,9,20728
2565,Trinity & 6th Street,11,19200
3293,East 2nd & Pedernales,10,18689
3390,Brazos & 6th,13,18545
2571,Red River & 8th Street,13,18291
3686,Sterzing at Barton Springs,13,17635
3660,Medina & East 6th,11,17184
3684,Congress & Cesar Chavez,11,16014
2569,East 11th St. & San Marcos,11,15967
3455,Republic Square @ 5th & Guadalupe,13,15544
4059,Nash Hernandez @ RBJ South,13,14557
2562,San Jacinto & 8th Street,13,14425
2822,East 6th at Robert Martinez,13,13459
2544,East 6th & Pedernales St.,11,12584
3292,East 4th & Chicon,9,11828
