start_station_name,trip_date,daily_trips,ranking,running_total
10th & Red River,2024-03-13,23,1,23
10th & Red River,2023-03-16,15,2,38
10th & Red River,2024-03-14,15,2,53
10th & Red River,2021-10-02,12,3,65
10th & Red River,2023-03-15,12,3,77
10th & Red River,2023-03-17,12,3,89
10th & Red River,2022-05-29,12,3,101
11th & Congress @ The Texas Capitol,2015-05-24,85,1,85
11th & Congress @ The Texas Capitol,2015-03-22,62,2,147
11th & Congress @ The Texas Capitol,2015-10-10,61,3,208
11th & Salina,2023-01-16,8,1,8
11th & Salina,2023-01-09,7,2,15
11th & Salina,2023-10-07,6,3,21
11th & Salina ,2018-09-26,24,1,24
11th & Salina ,2018-10-13,22,2,46
11th & Salina ,2018-09-23,22,2,68
11th & Salina ,2019-03-14,21,3,89
11th & Salina ,2018-10-03,21,3,110
11th & San Jacinto,2018-03-17,26,1,26
11th & San Jacinto,2018-03-12,23,2,49
11th & San Jacinto,2016-03-16,22,3,71
12th & San Jacinto @ State Capitol Visitors Garage,2015-02-15,26,1,26
12th & San Jacinto @ State Capitol Visitors Garage,2014-07-05,22,2,48
12th & San Jacinto @ State Capitol Visitors Garage,2014-03-14,22,2,70
12th & San Jacinto @ State Capitol Visitors Garage,2015-09-12,21,3,91
13th & San Antonio,2018-04-28,23,1,23
13th & San Antonio,2018-03-13,19,2,42
13th & San Antonio,2018-03-16,16,3,58
13th & San Antonio,2017-03-18,16,3,74
13th & Trinity,2021-11-13,17,1,17
13th & Trinity,2022-02-20,11,2,28
13th & Trinity,2021-10-21,11,2,39
13th & Trinity,2021-11-28,10,3,49
13th & Trinity @ Waterloo Greenway,2023-10-28,16,1,16
13th & Trinity @ Waterloo Greenway,2024-04-08,13,2,29
13th & Trinity @ Waterloo Greenway,2022-09-13,13,2,42
13th & Trinity @ Waterloo Greenway,2023-11-04,13,2,55
13th & Trinity @ Waterloo Greenway,2024-06-23,13,2,68
13th & Trinity @ Waterloo Greenway,2023-10-01,12,3,80
13th & Trinity @ Waterloo Greenway,2022-04-16,12,3,92
13th & Trinity @ Waterloo Greenway,2023-03-18,12,3,104
16th & San Antonio,2021-10-17,27,1,27
16th & San Antonio,2022-10-14,27,1,54
16th & San Antonio,2021-10-11,26,2,80
16th & San Antonio,2022-11-10,26,2,106
16th & San Antonio,2024-04-09,26,2,132
16th & San Antonio,2023-09-14,25,3,157
16th & San Antonio,2021-06-12,25,3,182
1701 Barton Springs Road,2023-10-15,26,1,26
1701 Barton Springs Road,2023-10-14,24,2,50
1701 Barton Springs Road,2023-10-08,22,3,72
17th & Guadalupe,2014-03-11,36,1,36
17th & Guadalupe,2018-03-17,35,2,71
17th & Guadalupe,2014-03-14,35,2,106
17th & Guadalupe,2015-03-18,32,3,138
21st & Guadalupe,2022-09-02,90,1,90
21st & Guadalupe,2023-10-02,86,2,176
21st & Guadalupe,2022-09-14,84,3,260
21st & Guadalupe,2023-09-22,84,3,344
21st & Speedway @ PCL,2023-09-25,268,1,268
21st & Speedway @ PCL,2022-10-12,267,2,535
21st & Speedway @ PCL,2023-10-17,252,3,787
21st & Speedway @ PCL,2023-10-02,252,3,1039
21st & Speedway @PCL,2018-03-06,611,1,611
21st & Speedway @PCL,2018-03-05,580,2,1191
21st & Speedway @PCL,2018-04-19,553,3,1744
21st & University,2018-05-02,142,1,142
21st & University,2018-04-12,123,2,265
21st & University,2018-02-28,120,3,385
22.5 & Rio Grande,2023-10-20,51,1,51
22.5 & Rio Grande,2022-11-03,49,2,100
22.5 & Rio Grande,2023-12-08,44,3,144
22nd & Pearl,2018-03-02,199,1,199
22nd & Pearl,2018-03-05,191,2,390
22nd & Pearl,2018-02-28,189,3,579
23rd & Pearl,2023-10-16,80,1,80
23rd & Pearl,2022-10-14,79,2,159
23rd & Pearl,2022-09-14,77,3,236
23rd & Rio Grande,2018-04-19,201,1,201
23rd & Rio Grande,2018-05-03,196,2,397
23rd & Rio Grande,2018-04-18,183,3,580
23rd & Rio Grande,2018-04-20,183,3,763
23rd & San Gabriel,2022-04-28,57,1,57
23rd & San Gabriel,2022-04-18,53,2,110
23rd & San Gabriel,2022-02-01,51,3,161
23rd & San Gabriel,2022-05-02,51,3,212
23rd & San Jacinto @ DKR Stadium,2018-02-28,104,1,104
23rd & San Jacinto @ DKR Stadium,2018-02-26,91,2,195
23rd & San Jacinto @ DKR Stadium,2018-02-27,85,3,280
26th & Nueces,2022-08-29,123,1,123
26th & Nueces,2022-09-01,122,2,245
26th & Nueces,2022-10-13,119,3,364
28th & Rio,2022-10-27,85,1,85
28th & Rio,2022-10-14,78,2,163
28th & Rio,2022-09-30,78,2,241
28th & Rio,2022-09-28,77,3,318
28th & Rio Grande,2023-10-13,92,1,92
28th & Rio Grande,2021-09-23,90,2,182
28th & Rio Grande,2023-10-02,89,3,271
2nd & Congress,2015-03-15,176,1,176
2nd & Congress,2015-03-14,170,2,346
2nd & Congress,2015-03-16,144,3,490
2nd & Lavaca @ City Hall,2014-03-15,120,1,120
2nd & Lavaca @ City Hall,2014-03-11,116,2,236
2nd & Lavaca @ City Hall,2014-03-14,109,3,345
3rd & Nueces,2021-10-02,31,1,31
3rd & Nueces,2021-10-03,29,2,60
3rd & Nueces,2022-04-16,29,2,89
3rd & Nueces,2022-08-27,28,3,117
3rd & Nueces,2022-04-10,28,3,145
3rd & Nueces,2020-09-19,28,3,173
3rd & Trinity @ The Convention Center,2015-03-16,152,1,152
3rd & Trinity @ The Convention Center,2015-03-17,144,2,296
3rd & Trinity @ The Convention Center,2015-03-15,142,3,438
3rd & West,2016-10-01,62,1,62
3rd & West,2016-10-07,58,2,120
3rd & West,2016-10-08,56,3,176
3rd & West,2016-10-02,56,3,232
4th & Congress,2014-03-14,132,1,132
4th & Congress,2015-03-19,126,2,258
4th & Congress,2015-03-14,113,3,371
4th & Guadalupe @ Republic Square,2021-05-29,34,1,34
4th & Guadalupe @ Republic Square,2021-05-31,23,2,57
4th & Guadalupe @ Republic Square,2023-03-11,22,3,79
4th & Guadalupe @ Republic Square,2021-10-09,22,3,101
4th & Guadalupe @ Republic Square,2022-03-26,22,3,123
4th & Neches @ MetroRail Downtown,2019-06-08,5,1,5
4th & Neches @ MetroRail Downtown,2019-06-04,5,1,10
4th & Neches @ MetroRail Downtown,2019-06-07,4,2,14
4th & Neches @ MetroRail Downtown,2019-06-13,4,2,18
4th & Neches @ MetroRail Downtown,2019-06-09,3,3,21
4th & Neches @ MetroRail Downtown,2019-06-06,3,3,24
4th & Sabine,2022-04-07,21,1,21
4th & Sabine,2022-04-08,20,2,41
